FPR,TPR,Threshold
0.0,0.0,1.9364010572793386
0.0,0.010309278350515464,0.9364010572793386
0.0,0.1134020618556701,0.8381495267501612
0.022727272727272728,0.1134020618556701,0.8317829207577202
0.022727272727272728,0.12371134020618557,0.8291660605670127
0.045454545454545456,0.12371134020618557,0.8261855428248267
0.045454545454545456,0.14432989690721648,0.8166147829999395
0.06818181818181818,0.14432989690721648,0.8160985358126617
0.06818181818181818,0.27835051546391754,0.8055132473368429
0.09090909090909091,0.27835051546391754,0.8043577054245162
0.09090909090909091,0.5154639175257731,0.7822248801722668
0.11363636363636363,0.5154639175257731,0.7792570681607186
0.11363636363636363,0.6597938144329897,0.754584745069354
0.1590909090909091,0.6597938144329897,0.7523887572921892
0.1590909090909091,0.6701030927835051,0.7505179756931601
0.18181818181818182,0.6701030927835051,0.7454248964607105
0.18181818181818182,0.7422680412371134,0.7272610868086306
0.20454545454545456,0.7422680412371134,0.7205744600662133
0.20454545454545456,0.7731958762886598,0.7092509622407227
0.22727272727272727,0.7731958762886598,0.7070571065467856
0.22727272727272727,0.9381443298969072,0.6870886479667995
0.29545454545454547,0.9381443298969072,0.6745599103932166
0.29545454545454547,0.9484536082474226,0.6696456447224122
0.36363636363636365,0.9484536082474226,0.6599900423253443
0.36363636363636365,0.9690721649484536,0.6576543967012449
0.4318181818181818,0.9690721649484536,0.6384408598905302
0.4318181818181818,0.9896907216494846,0.6261279576023663
0.45454545454545453,0.9896907216494846,0.583338445475349
0.45454545454545453,1.0,0.5719906822807399
1.0,1.0,0.1619578621349299
